日期,時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
20260320,09:00:00,33689.68,30171.23,19849.97,13958.73,121.04,1916.51,194.36,493.77,469.31,99.17,137.37,176.24,74.28,142.06,236.16,117.55,189.29,282.29,2095.85,1110.03,316.88,44.8,210.89,605.13,342.74,197.13,221.67,461.39,184.59,103.47,2413.35,227.64,80.04,109.66,35.02,60.49,105.46,265.97
20260320,09:00:05,33719.85,30201.75,19845.04,13956.81,121.03,1916.22,193.56,493.65,469.8,99.15,137.58,176.52,74.4,144.53,236.05,117.1,189.01,282.28,2098.35,1111.3,316.81,44.98,211.7,607.31,342.68,197.2,220.78,461.61,184.56,103.6,2412.34,227.55,80.04,109.93,35.02,60.39,105.46,265.98
20260320,09:00:10,33811.8,30292.68,19851.12,13968.2,121.0,1914.98,193.53,493.7,470.1,99.85,137.58,176.55,74.39,144.96,235.93,118.1,188.98,282.16,2105.4,1116.38,316.31,45.21,211.6,607.86,344.34,196.89,221.14,464.67,184.77,103.52,2411.16,227.92,79.38,110.03,35.03,60.28,105.46,265.98
20260320,09:00:15,33816.13,30297.46,19860.12,13980.48,120.87,1914.89,193.48,492.99,470.79,99.87,138.28,178.11,74.62,144.96,235.93,118.17,189.56,282.48,2105.5,1116.3,316.81,45.34,211.66,607.95,344.42,197.41,220.78,466.56,184.36,103.52,2410.65,228.72,79.41,110.0,35.07,60.23,105.45,266.45
20260320,09:00:20,33783.91,30264.73,19869.19,13986.51,120.43,1915.35,193.4,492.08,471.18,99.88,138.43,178.83,74.58,144.96,235.93,118.08,189.33,281.77,2102.72,1114.19,316.86,45.39,212.54,605.96,345.31,197.56,221.43,469.74,184.42,103.51,2411.85,228.66,79.66,110.11,34.91,60.14,105.49,266.67
20260320,09:00:25,33827.83,30305.65,19883.77,13997.02,120.82,1915.38,194.07,492.19,471.42,99.9,138.33,178.85,74.5,144.96,235.93,118.0,189.23,281.73,2105.76,1116.71,316.68,45.38,212.57,606.1,345.43,197.53,221.04,470.29,184.31,103.51,2413.55,228.63,80.26,110.16,34.9,60.18,105.49,266.71
20260320,09:00:30,33834.79,30312.61,19886.81,14001.07,120.82,1915.41,194.48,491.69,471.48,99.91,138.4,179.07,74.51,144.96,235.93,118.16,189.23,281.73,2106.22,1117.04,316.7,45.44,212.57,606.06,345.28,197.72,221.01,470.89,184.18,103.51,2413.41,228.31,80.25,110.23,34.9,60.19,105.49,266.66
20260320,09:00:35,33840.93,30318.05,19891.33,14004.48,120.82,1915.41,194.81,491.44,471.46,99.92,138.38,179.38,74.43,144.96,235.93,118.17,189.4,281.8,2106.58,1117.21,316.91,45.42,212.58,606.07,344.85,197.78,221.14,470.61,184.4,103.51,2413.9,228.31,80.15,110.28,34.9,60.18,105.49,266.81
20260320,09:00:40,33879.58,30356.15,19892.21,14006.94,120.82,1915.41,195.03,491.32,471.46,99.84,138.28,179.21,74.38,145.38,235.95,118.25,189.41,282.16,2109.59,1119.67,316.63,45.43,212.58,606.03,345.05,197.85,221.05,470.51,184.35,103.51,2413.51,228.31,80.27,110.29,34.91,60.18,105.49,266.76
20260320,09:00:45,33880.75,30356.67,19896.78,14010.12,120.75,1914.45,195.22,491.25,471.6,99.86,138.36,179.35,74.42,145.17,236.03,118.37,189.39,282.13,2109.56,1119.67,316.76,45.43,212.61,605.92,345.29,197.87,220.92,471.26,184.16,103.51,2414.07,228.31,80.27,110.27,34.9,60.17,105.49,267.14
20260320,09:00:50,33889.68,30365.17,19899.68,14012.77,121.0,1914.45,195.35,491.51,471.77,99.86,138.41,179.47,74.43,145.2,236.03,118.24,189.5,282.13,2110.18,1119.84,316.53,45.44,212.78,606.61,345.34,197.85,221.14,471.31,184.25,103.51,2414.26,228.31,80.28,110.27,34.89,60.18,105.49,266.9
20260320,09:00:55,33890.58,30365.45,19905.31,14017.29,121.0,1914.67,195.66,491.59,471.63,99.99,138.42,179.47,74.44,144.99,236.03,118.25,189.36,282.14,2110.09,1119.92,316.46,45.46,212.6,606.77,345.31,197.78,220.83,471.36,184.24,103.56,2414.79,228.63,80.52,110.28,34.89,60.18,105.49,266.83
20260320,09:01:00,33900.47,30373.75,19909.25,14017.32,121.0,1914.67,195.6,491.67,471.51,100.07,138.39,179.48,74.41,144.99,236.03,118.27,189.4,281.95,2110.76,1120.09,316.52,45.45,212.66,606.73,345.43,197.98,221.59,471.56,184.23,103.56,2416.01,228.63,80.64,110.25,34.88,60.19,105.49,266.82
20260320,09:01:05,33902.68,30376.68,19903.51,14013.32,121.07,1914.63,195.54,491.31,471.54,100.0,138.43,179.53,74.43,143.93,236.15,118.25,189.21,281.96,2111.09,1119.94,316.66,45.47,213.19,607.45,345.35,197.46,221.52,471.25,184.23,103.58,2415.3,228.34,80.52,110.2,34.88,60.17,105.77,266.76
20260320,09:01:10,33909.14,30382.36,19910.17,14018.93,121.0,1914.61,195.69,491.44,471.97,100.21,138.51,179.83,74.43,143.93,236.15,118.28,189.46,281.98,2111.41,1120.08,316.8,45.45,213.34,607.38,345.38,197.48,221.65,471.5,184.26,103.58,2415.86,228.34,80.52,110.22,34.88,60.19,105.77,266.84
20260320,09:01:15,33908.86,30382.44,19912.31,14022.61,121.07,1914.55,195.96,491.44,472.22,100.2,138.49,179.77,74.43,143.72,236.15,118.26,189.57,281.96,2111.33,1120.07,316.89,45.43,213.17,607.47,345.04,197.63,221.56,471.48,184.21,103.58,2415.54,228.27,80.76,110.22,34.88,60.19,105.77,266.83
20260320,09:01:20,33905.72,30378.87,19914.3,14023.17,121.07,1915.09,195.75,491.36,472.16,100.2,138.56,179.81,74.48,143.72,236.15,118.27,189.64,282.02,2111.03,1120.1,316.82,45.47,213.34,607.04,345.02,197.72,221.16,471.78,184.21,103.6,2416.0,228.6,80.64,110.31,34.88,60.21,105.77,267.09
20260320,09:01:25,33912.9,30384.76,19923.02,14029.52,121.19,1915.09,195.73,491.44,472.28,100.12,138.78,179.98,74.62,143.72,236.18,118.28,189.57,282.0,2111.35,1120.26,316.94,45.47,213.51,606.88,345.82,197.81,221.17,472.11,184.31,103.6,2417.01,228.63,80.88,110.32,34.88,60.21,105.49,267.23
20260320,09:01:30,33920.19,30389.79,19929.13,14029.61,121.02,1915.16,195.74,491.6,472.35,100.2,138.75,179.93,74.61,143.51,236.18,118.31,189.53,282.03,2111.76,1120.26,316.88,45.47,213.51,607.71,345.77,197.66,221.31,472.52,184.41,103.6,2418.88,228.63,80.64,110.35,34.88,60.23,105.49,267.26
20260320,09:01:35,33916.25,30384.95,19929.64,14026.84,120.76,1915.38,195.58,491.48,472.35,100.2,138.61,179.74,74.54,142.66,236.3,118.35,189.57,282.07,2111.43,1120.39,316.75,45.48,213.5,606.77,345.79,197.66,221.23,472.64,184.42,103.6,2419.79,228.63,80.77,110.4,34.88,60.27,105.4,267.2
20260320,09:01:40,33921.87,30390.05,19932.29,14028.62,120.95,1915.38,195.4,491.69,472.32,100.2,138.72,179.62,74.65,142.44,236.3,118.52,189.67,282.11,2111.8,1120.38,317.16,45.48,213.69,606.75,345.79,197.65,221.5,472.63,184.41,103.6,2420.13,228.66,80.77,110.36,34.88,60.3,105.4,267.25
20260320,09:01:45,33920.21,30389.46,19932.72,14032.54,120.95,1915.38,195.45,492.16,472.65,100.12,138.66,179.49,74.63,142.44,236.42,118.87,189.9,282.12,2111.66,1120.23,317.18,45.47,213.67,606.83,345.57,197.71,221.57,472.44,184.54,103.6,2419.21,228.66,80.65,110.43,34.88,60.3,105.4,267.26
20260320,09:01:50,33875.94,30346.23,19930.02,14029.18,121.01,1915.39,195.22,492.11,472.49,100.11,138.78,179.71,74.68,142.66,236.42,118.89,189.76,282.11,2108.26,1117.73,316.99,45.46,214.06,606.82,345.28,197.7,221.23,472.34,184.45,103.6,2419.27,228.7,80.53,110.45,34.9,60.3,105.4,266.95
20260320,09:01:55,33915.42,30385.73,19922.56,14023.99,121.01,1915.39,194.78,491.84,472.53,100.11,138.77,179.68,74.68,142.65,236.3,118.89,189.86,282.07,2111.56,1120.06,317.04,45.45,214.01,607.42,345.34,197.71,221.25,471.92,184.35,103.6,2418.35,228.7,80.55,110.4,34.9,60.31,105.41,266.95
