日期,時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
20260811,09:00:00,44928.76,40245.61,24074.45,15878.03,120.16,1919.01,317.11,485.58,547.35,108.03,170.02,189.19,98.01,130.82,282.27,123.81,199.08,291.97,2861.19,1520.75,436.28,63.6,235.11,885.1,389.07,211.76,284.21,456.84,192.85,101.29,3211.03,234.49,94.47,140.08,42.69,59.62,102.71,274.67
20260811,09:00:05,44883.9,40209.12,24037.85,15860.1,120.17,1920.73,315.47,487.37,546.88,108.33,169.9,189.21,97.91,131.01,282.27,123.78,198.6,291.71,2858.68,1519.07,435.66,63.47,235.11,885.7,388.73,211.73,283.86,456.52,192.85,101.29,3204.47,234.49,94.37,140.11,42.69,59.56,102.71,273.37
20260811,09:00:10,44885.19,40209.78,24042.33,15863.24,120.53,1918.3,315.48,487.08,547.15,108.04,169.7,189.13,97.77,131.22,283.1,124.07,198.92,291.5,2858.66,1519.28,435.13,63.49,235.12,885.83,387.1,212.2,283.77,456.45,191.99,101.3,3205.02,234.4,96.17,138.35,42.71,59.57,102.7,274.08
20260811,09:00:15,44849.07,40177.95,24026.94,15856.81,120.53,1918.3,315.04,486.96,545.65,108.39,169.68,189.33,97.71,131.73,283.1,124.33,199.09,291.19,2856.25,1518.99,432.9,63.22,234.6,885.15,387.14,212.2,283.09,456.22,192.2,101.3,3201.95,234.4,95.81,138.25,42.6,59.59,102.66,274.47
20260811,09:00:20,44853.61,40179.55,24040.42,15862.84,120.59,1918.49,315.23,487.14,546.22,108.53,169.47,189.37,97.53,132.57,283.34,124.4,199.51,291.08,2856.24,1518.91,432.5,63.19,233.63,887.19,382.82,211.33,283.23,456.6,192.43,101.3,3204.53,234.23,95.68,138.25,42.66,59.6,103.14,274.36
20260811,09:00:25,44858.26,40183.65,24038.9,15859.66,120.59,1918.04,315.06,487.04,546.22,108.78,169.5,189.38,97.55,132.35,283.34,124.42,199.51,290.96,2856.64,1518.95,432.3,63.18,233.59,888.51,381.78,211.33,283.17,456.35,192.38,101.3,3204.92,234.16,95.56,138.21,42.66,59.62,103.07,274.39
20260811,09:00:30,44861.83,40193.4,24017.48,15856.0,120.66,1918.04,315.06,486.9,546.19,108.53,169.51,189.17,97.6,132.36,283.28,124.37,199.46,290.96,2857.52,1518.56,432.64,63.14,233.53,891.73,382.0,211.09,282.97,456.33,192.29,101.33,3199.22,234.16,95.33,138.21,42.66,59.62,103.07,274.37
20260811,09:00:35,44857.32,40190.87,24008.33,15851.73,120.47,1918.04,314.99,487.4,546.18,108.51,169.52,189.22,97.6,132.36,283.28,124.4,199.54,290.96,2857.42,1518.37,432.55,63.07,233.32,892.52,381.23,211.09,283.04,455.85,192.03,101.33,3197.52,234.16,95.33,138.2,42.66,59.62,102.9,274.27
20260811,09:00:40,44863.98,40198.56,23999.78,15845.92,120.47,1916.66,314.91,487.48,545.95,108.52,169.5,189.18,97.59,132.36,283.4,124.28,199.54,290.98,2858.17,1518.85,432.45,63.2,233.41,892.77,380.92,210.95,282.97,455.6,191.82,101.33,3196.42,233.83,95.44,138.18,42.69,59.61,102.88,273.9
20260811,09:00:45,44865.91,40199.42,23997.85,15840.26,120.34,1916.66,314.44,487.54,546.1,108.2,169.53,189.19,97.62,132.13,283.4,124.39,199.54,290.98,2858.38,1518.89,432.13,63.26,233.42,893.1,380.85,210.95,283.15,455.69,191.84,101.35,3197.36,232.86,95.33,138.15,42.69,59.6,102.9,273.87
20260811,09:00:50,44863.79,40196.56,24003.65,15844.28,120.34,1916.66,314.99,487.29,546.02,108.2,169.52,189.12,97.62,132.12,283.4,124.3,199.51,290.97,2858.05,1518.66,431.86,63.37,233.41,892.93,381.57,210.95,283.23,455.71,192.0,101.35,3198.08,233.18,95.34,138.17,42.6,59.6,102.62,273.81
20260811,09:00:55,44871.02,40203.78,24006.23,15847.84,120.47,1916.66,314.91,487.25,546.0,108.34,169.52,189.11,97.62,131.93,283.4,124.29,199.46,290.96,2858.55,1519.22,431.67,63.46,233.76,892.34,381.42,211.09,283.07,455.71,192.08,101.35,3197.92,233.51,95.45,138.16,42.6,59.6,102.6,274.48
20260811,09:01:00,44871.25,40203.47,24005.49,15845.18,120.21,1918.07,315.06,487.25,545.75,108.36,169.51,189.07,97.63,131.93,283.52,124.29,199.46,290.96,2858.59,1518.95,431.47,63.42,233.76,893.12,381.51,211.09,283.36,455.57,191.93,101.35,3198.41,233.49,95.44,138.09,42.58,59.61,102.6,274.18
20260811,09:01:05,44834.08,40167.91,24004.13,15845.85,120.34,1918.25,315.15,486.89,545.37,108.35,169.52,189.13,97.62,132.33,283.4,124.3,199.44,290.95,2855.71,1516.6,431.97,63.41,233.96,893.29,381.49,210.46,283.04,455.52,192.07,101.35,3197.8,233.49,95.34,138.07,42.71,59.61,102.59,274.18
20260811,09:01:10,44821.22,40155.21,24003.57,15844.6,120.28,1918.36,314.98,486.85,545.49,108.23,169.52,189.12,97.62,132.33,283.4,124.28,199.4,290.91,2854.71,1516.29,431.38,63.32,233.77,892.86,381.3,210.82,283.04,455.44,192.12,101.4,3197.97,233.49,95.45,138.05,42.71,59.61,102.59,273.8
20260811,09:01:15,44854.7,40190.67,23989.56,15838.0,120.15,1916.95,314.43,486.85,544.99,108.06,169.51,189.08,97.63,132.54,283.4,124.19,199.46,290.91,2857.73,1518.62,431.14,63.33,233.75,893.55,381.46,210.82,282.65,455.46,192.3,101.4,3195.38,233.48,95.34,138.05,42.71,59.61,102.59,273.79
