日期,時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
20260420,09:00:00,36804.34,33116.29,20419.36,14311.26,126.32,1968.15,205.06,466.55,518.56,99.11,141.4,186.65,75.32,169.27,252.4,119.69,196.29,291.37,2324.61,1215.59,340.81,49.58,236.71,730.47,347.77,200.22,247.76,471.43,177.32,103.99,2495.5,239.89,76.79,117.26,34.84,59.17,102.02,274.23
20260420,09:00:05,36850.24,33161.25,20447.44,14344.41,125.94,1963.26,205.25,466.54,524.15,99.12,141.97,187.73,75.56,172.03,252.4,119.77,196.12,291.55,2327.44,1216.7,340.95,49.8,236.36,733.77,347.09,200.23,247.61,471.45,177.32,103.95,2495.3,239.89,77.54,117.27,34.8,59.15,102.02,274.15
20260420,09:00:10,36942.17,33249.13,20471.96,14366.92,125.95,1963.52,206.48,467.02,524.84,99.16,142.52,189.68,75.58,172.26,252.26,119.9,196.3,291.7,2333.97,1221.57,341.19,50.04,236.62,733.43,347.95,200.8,247.44,471.69,177.39,103.96,2496.86,239.86,77.77,117.4,34.8,59.11,102.03,274.14
20260420,09:00:15,37022.27,33331.7,20472.86,14383.11,125.94,1964.29,207.23,467.06,524.86,99.72,142.76,190.62,75.57,172.26,253.67,119.92,196.3,292.17,2340.24,1224.17,343.37,50.14,236.24,737.53,348.19,200.82,247.88,471.65,177.41,104.0,2492.79,239.76,77.77,117.54,34.85,59.22,102.66,274.77
20260420,09:00:20,37016.94,33327.77,20491.93,14409.39,125.94,1967.37,208.44,468.33,525.54,99.77,143.12,191.13,75.76,172.78,253.7,120.06,196.59,292.39,2339.29,1224.23,343.98,50.29,235.41,738.67,348.04,200.84,244.99,473.77,177.48,104.03,2491.64,239.81,77.89,117.42,34.84,59.25,102.66,274.89
20260420,09:00:25,36985.9,33297.52,20492.44,14409.99,125.95,1965.84,208.36,468.57,525.28,99.77,143.17,191.2,75.78,172.99,253.7,120.32,196.64,292.37,2336.84,1221.98,344.2,50.2,235.59,738.9,348.48,200.84,245.46,473.84,177.31,103.94,2491.64,239.81,78.01,117.48,34.84,59.27,102.66,274.98
20260420,09:00:30,37024.16,33333.72,20498.51,14413.34,125.89,1965.84,208.27,468.45,526.95,99.79,143.07,190.96,75.76,172.14,253.7,120.15,196.64,292.39,2339.68,1224.43,344.14,50.26,235.21,738.73,348.53,200.84,245.16,473.8,177.52,103.94,2492.63,239.83,78.01,117.51,34.84,59.28,102.66,274.95
20260420,09:00:35,37032.33,33340.28,20500.81,14411.28,125.89,1967.23,207.88,468.38,527.02,99.79,143.14,191.07,75.79,172.13,253.7,120.14,196.64,292.33,2340.25,1224.53,344.13,50.19,235.41,739.67,348.53,200.83,245.23,473.86,177.44,103.93,2493.89,239.83,78.01,117.55,34.84,59.28,102.66,275.0
20260420,09:00:40,37014.88,33323.82,20493.18,14404.28,126.02,1967.15,207.28,468.46,526.12,99.86,143.18,191.12,75.81,171.92,253.7,120.11,196.59,292.37,2339.1,1224.49,343.78,50.2,235.58,737.34,348.53,200.83,245.15,473.82,177.51,103.93,2493.41,239.87,77.89,117.54,34.89,59.28,102.66,274.96
20260420,09:00:45,36984.87,33296.37,20487.93,14404.26,125.9,1967.25,207.22,468.46,526.08,99.86,143.21,191.26,75.8,171.92,253.7,120.07,196.59,292.37,2336.89,1222.26,343.72,50.18,235.36,738.98,348.49,200.83,245.36,473.71,177.51,103.93,2491.78,239.87,78.01,117.54,34.88,59.28,102.66,275.02
