日期,時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
20260402,09:00:00,33174.82,29639.29,19671.0,13650.78,122.01,1939.09,186.11,464.77,448.19,94.87,131.57,167.43,71.44,125.84,264.92,117.6,195.12,284.23,2060.38,1092.65,308.46,42.33,213.48,595.65,319.54,187.92,216.8,457.0,178.95,103.76,2440.62,234.03,77.63,107.49,34.88,60.43,97.46,266.7
20260402,09:00:05,33218.02,29677.19,19700.97,13671.25,122.02,1939.08,187.89,464.94,448.76,94.87,131.69,167.31,71.56,127.36,264.92,117.67,195.08,284.32,2062.95,1093.57,308.62,42.55,213.59,597.41,320.1,188.41,217.34,457.18,179.05,103.76,2444.43,234.08,77.63,107.39,34.92,60.41,97.3,266.92
20260402,09:00:10,33299.2,29756.0,19706.87,13676.99,122.03,1943.99,187.19,465.04,450.45,94.87,131.79,167.48,71.61,127.17,261.35,117.96,194.94,284.61,2069.16,1096.75,308.72,42.68,214.06,600.6,320.29,188.41,218.04,457.64,179.14,103.94,2444.71,234.2,77.61,107.4,34.92,60.32,97.3,266.98
20260402,09:00:15,33404.0,29849.34,19739.99,13685.61,122.03,1945.82,186.82,464.45,451.53,95.37,131.92,167.52,71.71,126.95,260.96,118.27,195.35,284.67,2076.47,1099.48,310.16,42.85,214.1,606.71,322.16,188.41,218.57,457.88,179.17,103.98,2452.69,234.88,77.6,107.47,34.95,60.35,97.3,267.05
20260402,09:00:20,33405.24,29850.54,19742.79,13688.82,122.16,1946.69,186.41,464.52,452.92,95.47,132.04,167.92,71.71,126.54,260.18,118.06,195.5,285.64,2076.49,1099.12,310.65,42.9,214.51,606.58,322.58,188.8,218.74,458.28,179.13,103.91,2452.7,234.91,77.38,107.52,34.99,60.23,97.3,267.43
20260402,09:00:25,33413.6,29858.65,19741.04,13686.69,122.16,1948.2,186.26,464.52,452.7,95.41,132.0,167.88,71.7,126.54,260.5,118.07,195.5,285.63,2077.19,1099.23,310.68,42.91,214.56,607.51,322.71,188.94,218.96,458.29,179.07,103.91,2452.73,234.94,77.39,107.56,34.99,60.23,97.3,267.4
20260402,09:00:30,33415.1,29860.18,19739.75,13685.41,122.18,1949.31,186.26,464.27,452.54,95.37,132.01,167.89,71.7,126.54,260.48,118.21,195.5,285.51,2077.35,1099.36,310.64,42.89,214.56,607.56,322.54,188.94,218.99,458.33,179.02,104.05,2452.67,234.94,77.25,107.52,34.99,60.22,97.3,267.38
20260402,09:00:35,33419.24,29862.98,19750.46,13693.62,122.18,1952.53,186.92,464.29,452.65,95.39,132.02,167.89,71.71,126.54,260.44,118.13,195.5,285.51,2077.37,1099.35,310.57,42.89,214.57,607.6,322.9,188.94,219.02,458.33,179.21,104.05,2453.79,234.94,77.25,107.59,34.99,60.24,97.3,267.32
20260402,09:00:40,33419.92,29864.07,19751.82,13696.63,122.19,1952.03,187.09,464.55,452.88,95.55,132.0,167.93,71.68,126.54,260.33,118.35,195.5,285.51,2077.39,1099.44,310.67,42.86,214.57,607.39,322.6,188.87,219.01,458.61,179.15,104.05,2453.4,234.94,77.25,107.52,34.99,60.17,97.3,267.32
20260402,09:00:45,33455.92,29899.34,19748.66,13693.6,122.05,1952.03,187.1,464.29,452.82,95.53,131.98,167.9,71.67,126.54,260.26,118.21,195.32,285.62,2080.3,1101.8,310.75,42.88,214.54,607.54,322.16,188.78,218.59,458.51,179.09,104.05,2453.23,234.94,77.26,107.51,34.99,60.15,97.3,267.29
20260402,09:00:50,33412.91,29860.23,19739.68,13692.68,122.18,1949.21,187.03,464.16,452.74,95.5,132.07,167.92,71.74,126.76,260.26,118.22,195.32,285.6,2077.18,1099.35,310.71,42.87,214.54,607.79,322.27,188.81,218.55,458.51,179.08,104.05,2450.69,234.94,77.26,107.45,34.99,60.11,97.31,267.32
20260402,09:00:55,33453.64,29901.22,19737.56,13694.59,122.05,1949.21,187.34,464.28,452.81,95.42,132.11,167.84,71.8,126.97,260.3,118.21,195.32,285.63,2080.43,1101.87,310.48,42.88,214.54,607.82,322.2,188.81,218.66,458.47,179.07,104.05,2449.52,234.87,77.26,107.38,34.99,60.1,97.31,267.21
20260402,09:01:00,33409.93,29859.97,19733.58,13694.52,122.18,1949.55,187.24,464.28,452.92,95.42,132.06,167.82,71.75,126.96,260.26,118.21,195.32,285.63,2077.11,1099.41,310.52,42.9,214.54,607.48,322.3,188.83,218.63,458.43,179.06,104.05,2448.3,234.87,77.37,107.35,35.0,60.06,97.31,267.21
20260402,09:01:05,33409.01,29858.66,19731.9,13691.17,121.93,1949.43,187.12,464.16,452.84,95.42,132.1,167.87,71.78,127.6,260.14,118.22,195.5,285.59,2077.08,1099.43,310.48,42.87,214.15,607.9,322.23,188.83,218.54,458.42,178.93,104.05,2448.68,234.87,77.14,107.42,35.0,60.1,97.31,267.18
