日期,時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
20260323,09:00:00,33543.88,30017.81,19801.95,13865.21,120.91,1913.42,186.77,486.66,463.3,98.33,136.37,176.52,73.4,134.63,236.87,119.84,190.54,285.21,2085.73,1103.4,317.96,44.46,211.49,601.33,340.83,196.29,221.33,467.18,183.23,103.81,2423.6,229.08,78.41,109.1,34.98,60.86,105.5,266.45
20260323,09:00:05,33334.0,29837.88,19637.74,13758.46,120.87,1912.5,183.18,485.38,455.76,98.15,135.17,175.22,72.7,124.63,236.52,119.77,189.95,283.75,2073.8,1099.88,316.44,44.06,210.58,595.82,336.67,195.65,214.98,465.27,182.37,103.72,2401.29,227.18,78.35,108.38,34.96,60.8,105.36,265.28
20260323,09:00:10,32788.14,29318.87,19547.36,13697.9,120.84,1907.17,181.95,484.01,453.12,97.52,134.74,174.67,72.47,124.59,236.2,119.45,189.4,279.37,2033.44,1074.09,314.65,43.82,210.0,582.87,335.64,195.34,214.8,461.73,182.07,103.18,2389.49,227.13,78.5,107.6,34.76,60.53,105.28,263.55
20260323,09:00:15,32669.72,29220.3,19454.05,13646.83,119.92,1900.6,182.5,479.92,448.38,95.5,133.57,173.55,71.75,124.63,234.77,120.14,189.27,279.16,2026.73,1072.18,312.91,43.25,209.05,576.9,333.58,193.93,214.83,459.71,182.03,103.1,2374.23,225.92,78.51,106.77,34.3,60.28,105.16,262.55
20260323,09:00:20,32536.84,29099.72,19374.65,13585.18,118.17,1895.06,182.6,477.28,447.39,95.09,132.94,172.09,71.55,126.01,234.57,120.16,188.15,279.12,2018.49,1069.39,309.18,43.09,206.37,574.25,331.95,192.01,213.73,458.16,178.4,102.48,2366.14,225.66,79.65,106.66,34.28,59.63,102.64,261.61
20260323,09:00:25,32523.38,29086.57,19374.81,13585.27,118.17,1894.79,182.85,477.32,446.85,95.09,132.94,172.18,71.53,125.79,234.57,120.28,188.26,278.91,2017.43,1069.16,308.84,43.13,206.93,572.52,330.26,191.84,213.7,458.01,178.32,102.49,2366.17,225.66,79.88,106.39,34.28,59.63,102.63,261.66
20260323,09:00:30,32534.19,29096.65,19382.3,13592.36,118.17,1895.4,183.42,477.38,447.09,95.09,132.86,172.19,71.47,126.64,234.23,120.01,187.96,278.36,2018.07,1069.34,308.88,43.09,206.82,573.57,330.69,191.56,213.7,458.18,178.52,102.45,2366.59,225.41,80.36,106.25,34.28,59.63,102.62,261.54
20260323,09:00:35,32515.48,29083.18,19361.23,13584.09,117.95,1893.48,183.49,477.25,446.89,94.99,132.78,172.14,71.41,126.37,234.03,120.05,187.73,278.5,2017.19,1069.09,308.87,43.09,206.16,572.88,330.53,191.54,213.69,457.25,178.47,102.32,2362.27,225.01,80.25,106.12,34.29,59.55,102.71,261.38
20260323,09:00:40,32505.85,29076.63,19346.15,13576.19,117.8,1890.6,183.37,477.26,446.93,95.04,132.67,172.11,71.32,126.33,234.11,119.92,188.03,278.39,2016.85,1069.02,308.55,43.05,206.3,573.13,330.47,191.5,213.25,456.69,178.43,102.2,2359.7,224.48,80.24,105.95,34.31,59.5,102.71,261.22
20260323,09:00:45,32507.46,29078.01,19344.28,13573.38,117.66,1889.08,183.51,477.32,446.42,94.92,132.67,172.24,71.3,125.91,234.11,119.82,187.79,278.37,2017.03,1068.98,308.61,42.99,206.42,573.16,330.59,191.49,213.59,456.31,178.46,102.19,2359.88,224.52,80.37,106.06,34.31,59.5,102.71,261.16
