日期,時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
20260804,09:00:00,43386.41,38732.14,23516.99,15201.12,117.92,1884.08,291.02,475.53,507.34,97.63,158.31,178.6,90.75,114.66,266.98,117.78,188.05,291.42,2755.52,1491.44,409.39,57.42,240.31,782.07,360.87,210.14,270.59,466.48,191.23,100.31,3220.6,235.23,93.47,124.34,39.57,57.0,101.35,274.1
20260804,09:00:05,43092.49,38447.66,23511.99,15201.83,117.84,1880.58,292.0,475.14,505.19,97.56,160.23,178.4,92.34,114.36,267.25,117.64,187.75,290.64,2732.57,1475.16,408.46,57.5,239.48,782.37,360.53,209.52,268.3,465.26,190.83,99.78,3218.85,233.64,93.47,124.16,39.57,56.78,101.27,273.16
20260804,09:00:10,43148.94,38510.37,23451.16,15157.59,117.35,1879.78,292.14,475.1,504.18,97.22,160.15,178.07,92.35,114.99,265.83,117.41,186.58,289.41,2738.69,1479.05,408.44,57.46,240.32,784.38,359.68,209.52,268.28,463.09,189.9,99.54,3211.85,233.38,91.28,124.05,39.57,56.68,101.4,273.0
20260804,09:00:15,43114.94,38487.18,23400.47,15132.51,116.9,1878.76,291.46,472.48,505.82,97.77,159.51,177.91,91.87,114.41,265.67,116.8,186.33,289.27,2737.43,1476.42,409.05,57.58,239.85,789.73,357.3,207.62,268.02,460.57,189.7,99.54,3202.82,234.14,91.2,123.95,39.13,56.34,101.4,273.03
20260804,09:00:20,43086.76,38468.84,23357.73,15113.86,116.98,1877.33,290.72,472.18,507.95,97.7,159.43,177.6,91.86,113.86,264.35,116.65,186.35,286.17,2736.4,1476.15,408.9,57.51,239.74,788.82,357.53,208.35,267.76,458.06,189.43,99.28,3194.53,233.88,90.84,126.44,39.13,56.16,101.42,271.75
20260804,09:00:25,43107.1,38487.41,23364.21,15117.12,116.98,1877.5,291.43,472.4,508.01,97.73,159.4,177.51,91.86,113.96,264.32,116.72,186.31,286.06,2737.82,1476.48,409.92,57.52,240.27,789.0,357.92,207.73,268.2,457.49,189.41,99.26,3195.67,233.92,90.84,126.23,39.13,56.15,101.41,271.54
20260804,09:00:30,43117.25,38494.14,23374.83,15118.77,116.98,1877.09,291.53,472.8,507.92,97.83,159.41,177.56,91.86,114.53,264.32,116.68,186.47,286.27,2738.32,1476.52,410.17,57.52,240.91,789.19,359.29,207.67,268.08,457.45,189.41,99.23,3198.54,234.21,90.72,126.21,39.14,56.15,101.41,271.54
20260804,09:00:35,43140.42,38514.25,23393.29,15131.75,116.98,1877.48,292.69,472.86,507.9,97.82,159.48,177.63,91.9,114.25,264.35,116.65,186.59,286.27,2739.63,1477.08,410.41,57.54,240.72,790.0,360.06,207.43,268.36,457.6,189.58,99.23,3200.79,234.18,90.98,126.23,39.14,56.15,101.41,271.58
20260804,09:00:40,43143.97,38513.85,23409.41,15137.4,116.98,1878.64,292.6,473.1,508.29,97.93,159.71,177.75,92.06,114.06,264.35,116.66,186.61,286.26,2739.46,1476.91,410.53,57.56,240.52,790.76,360.58,207.67,267.79,457.69,189.63,99.23,3204.29,234.18,90.98,126.5,39.14,56.14,101.41,271.71
20260804,09:00:45,43130.95,38501.94,23407.24,15137.5,116.98,1879.82,292.7,472.89,508.24,97.93,159.9,177.71,92.22,114.06,264.41,116.7,186.48,286.02,2738.5,1476.57,409.54,57.49,240.47,791.16,360.25,207.67,267.5,457.5,189.67,99.23,3203.58,234.18,90.74,126.48,39.18,56.03,101.41,271.85
