日期,時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
20260824,09:00:00,45224.29,40541.88,24519.06,16417.58,123.36,1960.23,329.68,492.42,539.95,107.2,175.54,192.21,101.85,136.95,291.86,123.21,199.5,295.76,2872.09,1526.32,437.97,67.04,230.76,908.79,361.33,228.75,271.81,469.75,220.64,103.28,3203.49,243.95,102.6,132.25,40.41,59.38,101.08,283.64
20260824,09:00:05,45240.3,40556.97,24517.68,16414.26,123.3,1959.78,326.4,492.29,540.06,107.22,175.65,192.23,101.94,136.96,291.69,123.62,199.5,295.67,2873.38,1526.02,439.37,67.12,230.71,911.18,361.38,228.69,271.81,469.51,222.62,103.3,3203.96,243.96,102.6,132.25,40.37,59.35,100.43,283.7
20260824,09:00:10,45239.75,40556.32,24507.26,16401.93,123.3,1960.23,325.87,491.83,540.21,107.3,175.66,192.29,101.93,136.13,292.5,123.62,199.64,295.61,2873.63,1525.77,439.36,67.25,230.65,911.38,361.27,228.83,272.58,469.79,222.17,103.31,3204.05,243.21,101.65,133.77,40.41,59.36,100.44,283.51
20260824,09:00:15,45227.05,40539.62,24529.78,16413.36,123.3,1960.23,325.3,491.27,540.75,108.83,175.97,192.86,102.06,136.16,292.56,124.23,199.96,295.64,2872.01,1526.03,438.85,67.35,230.9,906.87,361.26,228.83,272.6,469.93,222.49,103.45,3207.99,243.94,101.18,133.81,40.41,59.37,100.44,283.99
20260824,09:00:20,45214.51,40527.26,24557.69,16445.02,124.39,1953.22,326.03,492.21,542.07,109.45,177.12,191.82,103.21,136.37,292.75,124.44,200.02,296.5,2870.25,1523.25,440.66,67.37,231.74,908.68,362.38,228.85,272.4,470.31,222.7,103.44,3208.11,244.14,101.06,133.93,40.41,59.45,100.44,283.83
20260824,09:00:25,45256.27,40566.94,24565.66,16450.78,124.27,1953.22,326.82,493.31,541.84,109.8,177.04,191.71,103.17,136.58,293.43,124.33,200.05,296.49,2873.31,1525.73,440.9,67.38,231.26,908.35,362.89,228.85,272.42,470.27,222.62,103.44,3209.04,244.14,101.06,133.85,40.41,59.45,100.44,284.15
20260824,09:00:30,45265.8,40573.44,24580.39,16458.44,124.27,1956.05,326.92,493.55,542.68,109.88,177.5,191.99,103.48,136.55,293.55,124.45,200.14,296.47,2873.65,1525.76,440.89,67.45,231.62,908.52,362.89,228.99,272.48,470.25,222.24,103.46,3211.56,244.14,101.06,133.88,40.41,59.47,100.44,284.18
20260824,09:00:35,45264.86,40574.88,24583.2,16469.54,124.27,1951.81,327.03,494.07,542.87,109.91,177.78,192.07,103.69,136.75,294.57,124.47,200.16,297.15,2873.5,1525.88,440.51,67.49,231.63,908.11,362.55,229.23,272.53,470.51,222.47,103.47,3209.43,244.16,101.18,134.04,40.38,59.47,100.44,284.58
20260824,09:00:40,45272.1,40582.16,24593.06,16481.65,124.52,1956.02,327.65,494.11,542.9,109.91,177.84,192.14,103.73,136.75,294.57,124.48,200.12,297.15,2873.79,1525.98,440.23,67.48,231.82,908.58,362.25,229.23,272.61,470.54,222.53,103.66,3209.22,244.16,101.42,134.16,40.38,59.47,100.44,284.94
20260824,09:00:45,45231.99,40538.54,24605.2,16480.43,124.65,1956.25,327.58,493.95,542.48,109.77,177.87,192.13,103.76,136.78,294.57,124.59,200.12,297.17,2870.31,1523.67,440.33,67.45,231.32,907.96,362.61,229.27,272.47,470.48,222.61,103.67,3213.34,243.84,101.31,134.26,40.38,59.45,100.44,285.03
20260824,09:00:50,45244.46,40550.82,24607.2,16483.16,124.78,1956.02,327.66,494.02,541.93,109.85,178.08,192.14,103.92,136.57,294.69,124.73,200.12,297.17,2871.23,1523.86,440.09,67.48,231.68,909.46,362.3,229.27,272.47,470.71,222.52,103.67,3213.23,243.82,101.42,134.26,40.38,59.45,100.44,285.06
