日期,時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
20260327,09:00:00,33337.62,29806.84,19661.11,13669.18,118.87,1932.32,182.28,469.83,458.18,96.25,131.07,168.6,70.78,124.84,258.83,119.15,189.21,289.85,2073.43,1094.29,316.2,42.9,213.79,606.36,328.71,188.64,220.2,464.03,178.26,103.72,2432.59,230.25,77.9,107.64,35.06,60.38,97.3,268.47
20260327,09:00:05,33267.25,29741.57,19631.35,13645.96,118.88,1936.01,182.08,468.07,456.54,96.21,130.81,168.78,70.52,121.02,259.96,119.07,189.21,287.97,2068.73,1092.98,315.67,42.7,213.2,603.5,328.59,187.95,218.07,463.82,178.26,103.72,2429.58,230.52,77.93,107.28,35.04,60.15,97.3,268.28
20260327,09:00:10,32966.18,29449.13,19620.78,13637.14,118.88,1935.27,182.38,467.73,455.56,96.09,130.68,168.39,70.51,121.46,262.05,118.7,189.15,287.74,2045.39,1078.56,313.51,42.61,213.16,595.54,327.0,187.84,217.87,463.53,177.91,103.72,2428.67,230.52,77.95,107.32,35.03,60.09,98.14,267.84
20260327,09:00:15,32872.5,29359.64,19605.32,13625.38,118.75,1934.89,182.47,467.8,453.87,94.73,130.58,168.21,70.46,122.03,262.89,118.65,188.97,287.57,2038.46,1076.05,313.42,42.45,211.53,589.42,326.06,187.62,217.48,463.01,178.01,103.66,2427.03,230.84,77.96,107.3,34.98,60.05,97.58,267.65
20260327,09:00:20,32805.32,29302.63,19562.1,13603.96,118.72,1929.73,182.47,466.1,451.21,94.8,130.24,168.57,70.1,121.6,262.47,118.45,188.98,287.1,2034.38,1074.56,310.74,42.4,211.9,588.55,324.22,187.65,216.36,462.33,178.08,103.41,2419.36,230.79,78.72,106.25,34.98,59.77,97.55,266.88
20260327,09:00:25,32764.86,29262.27,19566.82,13606.31,118.72,1929.73,182.64,466.12,451.17,94.79,130.18,168.51,70.07,121.58,263.07,118.42,188.92,287.26,2031.08,1072.15,310.8,42.41,211.89,588.76,324.23,187.65,215.83,462.29,178.03,103.4,2420.2,230.79,78.96,106.27,34.99,59.75,97.55,266.95
20260327,09:00:30,32766.68,29263.7,19570.95,13609.93,118.46,1929.73,182.87,466.61,450.71,94.71,130.23,168.63,70.08,121.16,263.09,118.54,188.77,287.27,2031.1,1072.2,310.85,42.4,211.89,588.33,324.23,187.65,216.06,462.31,178.11,103.39,2420.51,230.79,79.14,106.23,34.98,59.86,97.55,267.09
20260327,09:00:35,32806.96,29301.43,19579.81,13615.04,118.46,1928.32,183.0,467.51,450.58,94.77,130.36,168.74,70.16,121.17,262.97,118.82,188.93,287.29,2034.02,1074.62,310.27,42.42,211.9,587.99,323.94,187.65,216.39,462.28,178.04,103.39,2421.89,230.74,79.24,106.27,34.99,59.88,97.55,267.18
20260327,09:00:40,32808.63,29303.17,19584.83,13621.19,118.44,1929.73,183.48,467.51,450.31,94.6,130.43,168.87,70.19,121.38,263.05,118.82,188.93,287.4,2034.01,1074.71,310.56,42.37,211.96,587.41,323.93,187.67,216.4,462.28,178.07,103.39,2421.79,230.73,79.49,106.18,35.0,59.88,97.55,267.2
20260327,09:00:45,32764.28,29259.19,19586.09,13620.11,118.57,1930.18,183.4,467.51,450.47,94.61,130.34,168.63,70.17,121.38,263.09,118.68,189.12,287.4,2030.5,1072.16,310.63,42.38,211.95,587.21,323.99,187.67,216.13,462.27,178.08,103.39,2422.47,230.62,79.49,106.11,34.99,59.9,97.55,267.25
