日期,時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
20260819,09:00:00,45308.68,40651.55,24195.28,16136.78,119.45,1926.04,336.84,472.71,553.88,106.54,170.84,188.65,98.79,134.83,279.7,120.59,195.08,291.72,2887.68,1515.6,450.23,66.33,236.74,952.3,359.64,224.8,279.28,456.24,206.5,99.77,3178.56,237.04,97.9,133.96,40.86,57.74,100.66,276.8
20260819,09:00:05,45071.34,40425.13,24114.28,16059.79,119.09,1925.53,328.13,471.76,552.63,106.34,170.9,188.49,98.87,134.83,279.7,120.59,194.76,291.28,2871.29,1508.68,448.08,65.56,236.11,944.51,357.73,224.31,275.24,455.71,206.19,99.81,3174.15,237.03,97.9,133.52,40.86,57.73,100.66,276.64
20260819,09:00:10,44623.24,39989.66,24094.88,16041.35,118.84,1925.22,327.35,470.87,551.69,106.35,170.75,188.14,98.82,131.77,278.27,120.4,194.73,291.21,2836.64,1484.31,446.86,64.82,236.18,940.15,357.55,223.71,275.14,455.57,206.13,99.77,3173.09,236.55,98.73,133.49,40.76,57.68,98.61,276.33
20260819,09:00:15,44517.84,39890.59,24040.99,15991.47,118.84,1925.15,326.06,469.9,546.26,105.21,170.26,187.01,98.67,131.52,278.15,120.0,194.31,291.08,2829.85,1486.17,444.56,64.71,235.98,924.98,355.71,223.76,272.47,455.43,206.1,99.76,3169.8,236.58,98.49,131.37,40.76,57.68,98.6,276.15
20260819,09:00:20,44367.36,39748.9,24012.44,15975.15,118.97,1925.11,326.09,469.78,543.31,105.25,170.14,186.47,98.68,130.96,277.47,120.07,194.18,290.93,2818.83,1483.53,439.68,64.42,230.09,917.94,354.82,223.7,272.53,455.28,205.91,99.96,3165.31,236.53,98.11,131.98,40.76,57.68,98.59,275.66
20260819,09:00:25,44416.0,39794.75,24016.91,15975.14,118.97,1925.11,325.79,469.66,544.14,105.32,169.92,186.54,98.49,130.74,277.23,120.29,194.08,290.9,2822.52,1486.13,440.58,64.55,230.28,917.65,355.51,223.53,272.23,455.23,205.94,99.96,3166.71,236.53,98.15,131.27,40.76,57.7,100.08,275.67
20260819,09:00:30,44384.54,39765.17,24010.03,15970.79,118.97,1925.01,325.8,469.85,543.48,105.19,169.69,186.56,98.3,130.95,277.11,120.3,194.08,290.9,2820.25,1485.46,439.98,64.21,230.15,916.75,355.48,223.53,271.4,455.13,205.87,99.93,3165.74,236.53,98.27,131.29,40.76,57.69,100.1,275.71
20260819,09:00:35,44341.64,39723.38,24007.95,15968.43,118.97,1925.01,325.81,469.77,543.37,104.94,169.94,186.69,98.47,130.96,277.11,120.26,194.11,290.95,2816.93,1483.38,439.91,64.22,230.16,914.91,355.8,223.25,271.72,455.08,205.97,99.94,3165.73,236.67,97.66,131.27,40.76,57.67,100.1,275.71
20260819,09:00:40,44377.15,39757.46,23994.14,15950.81,118.97,1925.01,324.59,469.43,542.51,104.94,169.93,186.65,98.47,130.95,276.99,120.26,194.11,290.93,2820.1,1485.4,440.14,64.17,230.37,916.2,355.89,223.25,271.46,455.04,205.74,99.94,3166.2,236.67,97.31,131.27,40.76,57.67,100.1,275.65
20260819,09:00:45,44386.58,39766.28,23996.56,15952.36,118.97,1924.79,324.33,469.49,542.59,104.91,169.96,186.74,98.47,130.75,276.99,120.22,194.04,290.91,2820.78,1485.97,440.27,64.21,230.26,915.89,355.92,223.25,271.49,455.07,205.72,99.94,3166.53,236.69,97.44,132.04,40.76,57.67,100.47,275.6
20260819,09:00:50,44343.36,39724.73,23996.4,15954.07,118.97,1924.73,324.68,469.65,541.68,105.01,169.88,186.62,98.44,130.75,276.99,120.09,194.04,290.91,2817.39,1483.0,440.1,64.25,230.32,916.55,356.04,223.25,271.83,455.01,205.71,99.94,3166.02,236.69,97.91,132.02,40.76,57.66,100.47,275.56
20260819,09:00:55,44387.08,39766.74,23992.95,15948.12,118.97,1924.73,324.85,469.63,541.08,104.99,169.59,186.48,98.23,130.53,276.99,120.09,194.04,290.91,2820.92,1485.57,439.83,64.2,230.49,917.25,355.86,223.5,271.84,455.15,205.6,99.94,3166.55,236.69,97.79,132.09,40.76,57.64,100.47,275.56
20260819,09:01:00,44389.01,39768.54,23993.75,15948.75,118.97,1921.91,325.39,469.67,540.85,104.83,169.58,186.41,98.24,130.58,276.99,120.06,194.0,290.9,2821.05,1485.78,439.9,64.15,230.66,916.57,355.36,223.48,272.06,455.06,205.61,99.94,3166.63,236.69,97.67,132.11,40.76,57.67,100.47,275.54
20260819,09:01:05,44357.94,39737.33,23996.94,15949.29,118.97,1921.09,325.65,469.8,541.39,104.85,169.58,186.44,98.23,130.53,276.99,120.08,193.71,290.9,2818.52,1483.32,439.93,64.15,230.32,918.53,355.69,223.48,271.93,454.98,205.32,99.94,3167.48,236.66,97.79,132.05,40.76,57.6,100.47,275.57
20260819,09:01:10,44405.78,39785.46,24000.71,15958.71,118.97,1921.09,326.43,469.55,541.66,104.84,169.76,186.39,98.39,130.54,277.35,119.97,193.75,290.89,2822.17,1485.95,440.08,64.18,230.34,918.94,355.34,223.48,271.89,454.94,205.11,99.94,3166.1,236.66,98.27,131.99,40.81,57.59,100.47,275.56
20260819,09:01:15,44401.59,39781.91,23992.87,15951.44,118.97,1920.73,326.27,469.73,541.79,104.83,169.73,186.37,98.37,130.33,277.35,119.96,193.89,290.89,2822.06,1485.71,440.01,64.19,230.29,919.35,355.11,223.73,272.05,454.92,204.69,99.94,3165.63,236.59,98.03,132.01,40.81,57.59,100.47,275.56
20260819,09:01:20,44406.24,39786.17,23993.27,15951.03,118.95,1920.73,326.36,469.82,542.06,104.92,169.8,186.5,98.4,130.14,277.21,119.95,193.85,290.88,2822.41,1485.6,440.55,64.18,230.28,919.9,355.38,223.73,272.09,454.8,204.6,99.94,3165.86,236.59,97.9,131.96,40.81,57.55,100.47,275.56
20260819,09:01:25,44394.6,39776.82,23984.63,15947.72,118.95,1922.14,326.28,470.02,542.38,104.83,169.79,186.44,98.4,130.11,277.21,120.05,193.89,290.82,2821.74,1485.34,440.53,64.22,230.66,920.07,355.29,223.73,271.04,454.78,204.37,99.94,3164.06,236.45,97.78,131.87,40.6,57.54,100.47,275.49
20260819,09:01:30,44339.6,39719.89,23976.51,15927.25,118.95,1920.73,324.48,469.77,541.51,104.81,169.75,186.3,98.4,129.84,277.21,119.94,193.98,290.8,2817.64,1482.18,440.37,64.22,230.59,920.09,355.25,223.48,271.23,454.73,204.16,99.94,3167.08,236.45,97.78,131.87,40.6,57.54,100.47,275.49
20260819,09:01:35,44349.81,39731.43,23989.32,15947.28,118.95,1921.78,326.74,469.64,541.93,104.82,169.77,186.42,98.39,130.28,277.35,119.83,193.97,290.79,2818.09,1482.17,440.72,64.25,230.55,920.82,354.8,223.48,271.26,454.71,203.95,99.94,3165.65,236.36,98.26,131.82,40.6,57.55,100.47,275.48
20260819,09:01:40,44308.71,39691.14,23987.41,15944.28,118.95,1921.55,327.07,469.51,541.85,104.8,169.79,186.49,98.39,130.52,277.35,119.83,193.89,290.82,2814.92,1480.09,440.18,64.22,230.55,920.28,354.78,223.4,271.28,454.67,203.58,99.94,3165.87,236.36,98.02,131.82,40.6,57.58,100.47,275.5
20260819,09:01:45,44348.82,39731.41,23983.08,15943.28,118.95,1921.55,327.45,469.35,541.83,104.78,169.77,186.52,98.37,130.47,277.5,119.79,193.89,290.83,2818.19,1482.09,440.24,64.24,230.52,921.76,354.71,223.78,271.3,454.6,203.46,99.94,3164.78,236.36,97.78,131.84,40.6,57.58,100.47,275.48
20260819,09:01:50,44319.56,39702.69,23985.61,15945.52,118.83,1922.0,328.09,469.02,541.77,104.77,169.78,186.58,98.37,130.23,277.38,119.78,193.89,290.87,2815.82,1479.95,440.42,64.27,230.41,922.41,354.76,223.54,271.43,454.59,203.41,99.94,3164.97,236.36,97.78,131.54,40.6,57.58,100.47,275.47
20260819,09:01:55,44364.07,39744.96,23992.76,15950.03,118.83,1921.67,328.18,469.05,542.58,104.78,169.81,186.68,98.37,130.21,277.38,119.8,193.92,290.98,2819.12,1482.41,440.51,64.36,230.47,922.23,354.75,223.78,271.52,454.54,203.52,99.94,3165.98,236.36,97.78,131.54,40.6,57.53,100.47,275.47
20260819,09:02:00,44364.88,39744.58,23997.78,15951.89,118.89,1923.08,328.18,469.05,543.11,104.77,169.81,186.74,98.36,130.42,277.26,119.75,193.89,291.0,2819.04,1482.29,440.24,64.32,230.31,922.86,355.37,223.78,271.48,454.56,203.52,99.94,3167.04,236.36,97.66,131.66,40.6,57.54,100.47,275.47
20260819,09:02:05,44371.95,39751.31,23990.95,15943.5,118.77,1923.08,327.47,469.14,543.07,104.79,169.81,186.8,98.34,130.2,277.26,119.72,193.89,290.86,2819.79,1482.6,440.73,64.43,230.33,922.91,355.32,223.77,271.53,454.51,203.42,99.94,3167.18,236.29,97.66,131.63,40.6,57.55,100.47,275.16
20260819,09:02:10,44372.57,39751.87,23983.94,15935.29,118.76,1921.63,326.84,469.01,542.83,104.79,169.81,186.79,98.34,130.21,277.26,119.63,193.91,290.83,2820.03,1482.43,441.16,64.42,230.62,923.38,355.18,223.77,271.48,454.49,203.2,99.94,3167.22,236.29,97.78,131.61,40.6,57.54,100.47,275.1
20260819,09:02:15,44379.36,39758.51,23992.7,15945.46,118.63,1921.63,327.93,468.76,543.03,104.77,169.79,186.72,98.35,129.97,277.26,119.64,193.94,290.86,2820.32,1482.42,441.29,64.5,230.62,923.84,354.9,223.77,271.49,454.39,203.01,99.94,3167.2,236.29,98.26,131.74,40.6,57.59,100.47,275.09
20260819,09:02:20,44380.76,39761.13,23987.46,15943.62,118.76,1921.53,327.39,468.62,543.64,104.7,169.81,186.76,98.35,130.38,277.5,119.66,193.51,290.85,2820.57,1482.57,441.43,64.51,230.62,923.77,355.24,223.77,271.5,453.49,203.09,99.94,3166.06,236.29,98.37,131.77,40.6,57.58,100.47,274.98
20260819,09:02:25,44408.23,39787.95,23992.89,15950.06,118.76,1921.53,327.94,468.61,544.12,104.72,169.82,186.79,98.35,130.38,277.5,119.7,193.62,290.85,2822.58,1483.14,441.42,64.5,231.01,926.16,355.2,223.77,271.73,453.51,203.11,99.94,3166.01,236.29,98.39,131.77,40.6,57.58,100.47,274.98
20260819,09:02:30,44426.04,39806.4,23991.77,15952.46,118.76,1921.39,328.01,468.36,544.29,104.79,169.86,186.97,98.35,130.62,277.62,119.58,193.62,290.78,2824.01,1483.51,441.39,64.52,231.38,927.8,354.89,223.77,271.96,453.65,203.21,99.94,3165.01,236.34,98.39,131.78,40.6,57.58,100.47,275.03
20260819,09:02:35,44428.9,39808.46,23994.48,15953.12,118.76,1921.39,328.01,468.36,545.08,104.71,169.62,186.79,98.19,130.46,277.5,119.7,193.53,290.73,2824.16,1483.5,441.86,64.52,231.39,927.59,355.18,223.71,271.99,453.62,203.33,99.91,3165.68,236.34,98.39,131.76,40.6,57.53,100.47,275.07
20260819,09:02:40,44441.87,39820.79,23999.97,15958.42,118.76,1921.39,328.0,468.59,545.18,104.75,169.64,186.87,98.19,130.8,277.5,119.6,193.53,290.7,2825.03,1483.64,441.9,64.5,231.63,928.82,355.1,223.96,272.14,453.69,203.85,99.91,3165.95,236.34,98.29,131.92,40.59,57.53,100.47,275.06
20260819,09:02:45,44451.56,39830.43,24002.39,15961.86,118.88,1921.39,328.62,468.33,545.11,104.79,169.69,187.02,98.2,130.59,277.74,119.74,193.58,290.7,2825.72,1483.8,441.91,64.55,231.65,929.77,355.36,223.96,272.15,453.82,203.88,99.91,3165.77,236.27,97.93,132.0,40.59,57.55,100.47,274.97
20260819,09:02:50,44469.5,39847.48,24002.18,15960.16,118.88,1919.98,328.09,468.14,545.17,104.79,169.69,187.05,98.2,130.62,277.74,119.78,193.58,290.7,2827.13,1484.38,442.12,64.51,231.56,931.24,355.41,223.71,272.16,453.82,204.2,99.91,3166.17,236.34,97.81,132.0,40.59,57.55,100.47,275.03
