日期,時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
20260715,09:00:00,44737.95,40185.99,23807.54,15993.59,117.18,1972.78,359.44,485.54,518.88,101.43,167.98,199.56,94.19,148.57,269.92,115.13,198.64,293.14,2853.61,1537.07,392.53,65.81,234.54,894.07,368.52,209.31,258.72,458.42,186.23,100.92,3096.33,246.87,92.37,148.99,41.75,57.23,99.47,281.44
20260715,09:00:05,44850.69,40296.94,23871.51,16070.86,117.22,1973.54,367.37,485.63,523.45,101.5,168.44,200.23,94.42,148.67,269.92,115.18,198.78,292.89,2860.69,1539.82,392.47,66.35,234.62,900.06,369.31,209.73,259.6,458.43,186.03,100.92,3095.34,247.43,92.3,148.99,41.74,57.23,99.47,281.55
20260715,09:00:10,45038.67,40480.63,23893.71,16098.11,117.51,1974.51,367.42,486.38,523.48,101.53,169.86,200.2,95.58,150.85,269.27,115.2,198.14,293.47,2874.84,1549.15,393.34,66.43,234.94,902.41,369.54,209.73,260.42,458.85,186.0,100.96,3094.88,247.39,92.69,149.4,41.97,57.33,99.49,281.33
20260715,09:00:15,45181.83,40609.68,23948.09,16125.72,117.49,1974.74,368.4,487.78,523.48,102.62,169.73,200.56,95.39,151.22,269.42,115.41,198.1,293.8,2884.57,1552.63,394.23,66.96,235.34,912.47,369.64,210.01,260.39,459.07,186.6,101.03,3104.37,247.6,93.42,149.49,42.07,57.49,99.59,281.44
20260715,09:00:20,45255.2,40656.21,24035.46,16142.73,117.55,1973.01,368.71,487.53,526.08,102.77,169.85,201.22,95.36,151.16,269.62,115.52,198.49,294.31,2887.91,1552.84,395.57,67.03,239.52,912.23,372.36,211.22,261.81,459.19,186.99,101.05,3127.04,247.56,92.96,150.26,42.08,57.52,99.59,281.47
20260715,09:00:25,45227.6,40621.83,24049.32,16133.66,117.48,1973.01,367.62,487.78,526.24,102.82,169.82,201.09,95.36,151.04,269.62,115.54,198.45,294.3,2885.36,1552.38,395.17,67.03,239.02,909.08,371.9,211.48,261.4,459.29,186.85,101.05,3133.83,247.56,92.85,150.35,42.16,57.53,99.59,281.44
20260715,09:00:30,45235.3,40626.51,24039.59,16113.01,117.59,1972.65,365.22,487.64,526.35,102.92,169.77,201.03,95.33,150.84,269.62,115.54,198.33,294.38,2886.23,1552.79,395.19,66.84,238.98,909.82,372.03,211.01,261.71,459.3,186.7,101.05,3136.4,247.63,92.63,150.37,42.18,57.53,99.61,281.44
20260715,09:00:35,45242.35,40633.39,24045.02,16119.31,117.53,1975.47,365.89,487.67,526.53,103.04,169.76,200.96,95.33,150.88,269.62,115.55,198.3,294.41,2886.64,1553.0,395.04,66.85,238.99,910.31,372.01,211.29,261.68,459.41,186.71,101.05,3136.39,247.66,92.48,150.51,42.18,57.54,99.61,281.36
20260715,09:00:40,45244.35,40636.03,24061.74,16140.87,117.52,1975.47,368.23,487.75,526.7,103.32,169.76,200.98,95.33,150.9,269.62,115.57,198.19,294.55,2886.33,1553.24,395.18,66.84,238.99,908.85,372.06,211.29,261.58,459.42,186.84,101.05,3135.76,247.72,92.75,150.25,42.13,57.56,99.61,281.33
20260715,09:00:45,45246.44,40635.94,24073.0,16146.72,117.64,1975.89,368.71,487.89,527.34,103.4,169.75,200.92,95.34,150.91,269.62,115.73,198.12,294.48,2886.18,1553.02,395.11,66.87,239.18,908.77,372.56,211.29,261.73,459.49,186.8,101.05,3137.69,247.68,92.63,150.25,42.13,57.55,99.61,281.33
20260715,09:00:50,45249.41,40635.89,24083.98,16149.53,117.39,1975.93,368.64,487.88,527.26,104.06,169.76,200.98,95.33,150.45,269.62,115.9,198.08,294.47,2886.11,1553.0,394.89,66.81,238.85,909.34,372.4,211.32,261.69,459.45,186.94,101.05,3140.35,247.65,92.71,150.24,42.18,57.54,99.61,281.33
20260715,09:00:55,45222.29,40611.1,24071.15,16140.21,117.45,1977.34,367.21,487.64,527.16,104.2,169.67,200.92,95.27,150.26,269.62,115.96,198.05,294.47,2884.34,1552.23,394.67,66.77,238.66,908.43,372.39,211.27,261.35,459.45,186.89,101.05,3138.88,248.3,92.84,150.34,42.09,57.54,99.61,281.31
20260715,09:01:00,45184.2,40569.32,24090.07,16146.39,117.64,1977.56,367.74,488.07,527.41,104.22,169.49,200.97,95.12,150.44,269.62,115.84,198.05,294.55,2880.82,1549.92,394.79,66.72,238.72,907.29,372.04,211.27,261.27,459.42,186.98,101.05,3143.11,248.3,92.96,150.44,42.18,57.56,99.61,281.31
20260715,09:01:05,45282.3,40660.83,24106.23,16151.33,117.52,1977.02,367.11,488.34,527.62,104.49,169.72,200.99,95.3,150.39,269.62,116.09,198.23,294.37,2888.08,1555.16,394.37,66.8,238.52,908.86,371.6,211.29,261.27,459.47,187.01,101.05,3146.81,248.39,93.42,150.65,42.18,57.55,99.61,281.28
20260715,09:01:10,45236.14,40620.47,24108.99,16169.97,117.52,1977.24,369.26,488.41,527.91,104.57,169.77,201.09,95.32,151.03,269.62,115.93,198.36,294.32,2884.38,1552.59,394.98,66.74,238.53,907.23,372.53,211.25,261.35,459.54,186.89,101.02,3142.62,248.39,93.55,150.85,42.18,57.54,99.61,281.48
20260715,09:01:15,45272.4,40660.05,24106.79,16181.64,117.52,1977.31,370.23,487.91,528.05,104.66,170.0,201.14,95.49,150.8,269.62,115.92,198.43,294.29,2887.28,1554.9,394.9,66.73,238.32,907.37,372.28,211.01,261.34,459.53,186.92,101.02,3138.77,248.39,93.75,150.95,42.18,57.55,99.61,281.51
20260715,09:01:20,45224.43,40615.58,24085.44,16164.69,117.39,1974.23,368.73,487.53,528.08,104.66,169.98,201.08,95.49,150.8,269.62,115.86,198.32,294.26,2884.11,1552.8,394.8,66.71,238.31,906.49,372.16,210.81,261.35,459.44,186.89,101.02,3136.7,247.74,93.55,151.13,42.18,57.55,99.05,281.55
20260715,09:01:25,45215.78,40607.97,24094.33,16177.66,117.39,1974.23,370.4,487.42,528.3,104.76,169.96,201.01,95.49,150.75,269.62,115.94,198.32,294.26,2883.18,1552.24,394.75,66.72,238.29,906.37,371.88,210.81,261.15,459.46,186.88,101.02,3135.96,247.74,93.42,151.25,42.18,57.58,99.05,281.6
20260715,09:01:30,45212.95,40604.42,24089.94,16169.96,117.39,1972.92,369.67,487.14,527.85,104.76,169.93,201.07,95.45,150.96,269.62,115.9,198.39,294.22,2883.08,1552.27,394.57,66.72,238.31,906.16,371.92,211.3,261.15,459.37,186.81,101.02,3136.67,247.74,93.52,151.45,42.18,57.54,99.05,281.59
20260715,09:01:35,45237.86,40630.92,24084.69,16171.34,117.14,1975.74,369.88,486.71,528.3,104.73,169.94,201.0,95.48,150.97,269.62,116.05,198.39,294.16,2885.18,1552.89,394.63,66.7,238.53,909.31,372.08,211.3,260.89,459.3,186.78,101.02,3134.66,247.74,93.25,151.52,42.2,57.53,99.05,281.6
20260715,09:01:40,45214.2,40608.79,24101.29,16193.56,117.34,1974.33,372.49,486.66,528.57,104.74,170.02,201.0,95.54,150.97,269.62,115.99,198.57,294.13,2882.87,1550.65,394.48,66.75,238.47,910.44,372.53,211.3,261.13,459.36,186.83,101.02,3133.81,247.42,93.49,151.52,42.2,57.51,99.05,281.55
20260715,09:01:45,45260.97,40654.43,24113.04,16207.28,117.28,1975.74,374.0,486.51,528.21,104.78,170.24,201.04,95.71,150.98,269.77,115.98,198.57,294.14,2886.21,1553.24,394.64,66.75,238.68,909.91,372.8,211.05,261.22,459.36,186.84,101.02,3133.76,247.46,93.61,151.52,42.2,57.51,99.05,281.52
20260715,09:01:50,45262.15,40653.43,24126.25,16215.31,117.28,1983.01,374.17,486.57,528.63,104.7,170.24,201.19,95.67,150.97,269.77,116.05,198.61,294.12,2885.94,1553.07,394.63,66.76,238.99,909.4,372.37,211.05,261.37,459.38,186.88,101.02,3135.71,247.53,93.84,151.51,42.19,57.51,99.06,281.51
20260715,09:01:55,45224.62,40619.09,24115.81,16210.77,117.22,1976.7,374.08,486.45,528.38,104.74,170.04,201.26,95.5,150.93,269.77,116.18,198.61,294.11,2883.28,1551.1,394.35,66.74,238.71,909.68,372.68,211.05,261.36,459.4,186.99,101.02,3133.68,247.53,93.84,151.5,42.19,57.5,99.07,281.49
20260715,09:02:00,45266.49,40661.89,24118.26,16220.27,117.35,1976.63,375.13,486.92,528.29,104.75,170.03,201.18,95.51,150.9,269.77,116.18,198.75,294.14,2886.5,1553.54,394.46,66.74,238.88,909.27,372.93,210.81,261.56,459.43,187.04,101.04,3131.87,247.2,93.96,151.5,42.19,57.5,99.07,281.54
20260715,09:02:05,45269.32,40661.86,24133.31,16228.26,117.22,1976.86,375.39,487.11,528.31,104.74,170.24,201.17,95.68,150.89,269.8,116.32,198.71,294.12,2886.31,1553.75,393.69,66.74,238.88,909.44,372.7,210.56,261.2,458.13,187.05,101.04,3134.4,247.2,94.67,151.36,42.19,57.5,99.07,281.56
20260715,09:02:10,45208.7,40596.98,24154.11,16232.79,117.29,1978.27,376.3,487.37,528.14,104.75,170.16,201.22,95.6,151.2,269.8,116.26,198.64,294.15,2880.97,1550.76,393.52,66.69,238.85,906.72,372.27,210.59,260.95,458.12,186.8,101.04,3139.67,247.2,94.67,151.62,42.19,57.5,99.07,281.56
20260715,09:02:15,45249.81,40634.73,24158.92,16230.61,117.29,1978.21,375.22,487.71,528.41,104.71,170.22,201.2,95.66,151.24,269.8,116.25,198.61,294.09,2884.06,1553.16,393.39,66.71,238.79,906.74,372.49,210.83,260.98,458.29,187.08,101.04,3141.76,247.23,94.79,151.61,42.19,57.49,99.06,281.63
20260715,09:02:20,45240.71,40628.17,24141.6,16218.37,117.35,1979.62,374.06,488.02,527.98,104.7,170.15,201.05,95.63,151.16,269.8,116.49,198.69,294.09,2883.83,1553.26,393.12,66.7,238.47,906.37,372.79,210.78,261.0,458.18,187.02,101.03,3139.67,247.17,94.42,151.48,42.23,57.5,99.06,281.63
20260715,09:02:25,45231.48,40620.81,24130.73,16211.34,117.35,1979.62,373.9,487.95,527.49,104.69,170.16,201.15,95.61,151.18,269.8,116.52,198.65,294.07,2883.41,1553.24,393.21,66.6,238.46,905.68,372.72,210.76,260.89,458.22,186.8,101.03,3138.19,246.84,94.16,151.5,42.23,57.5,99.06,281.66
