日期,時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
20260917,09:00:00,45848.9,40674.52,25711.94,16196.38,120.91,1884.24,372.05,456.86,524.87,106.26,161.06,186.21,91.38,138.26,274.17,117.91,188.14,289.89,2888.1,1540.58,456.29,72.31,231.08,877.55,349.94,239.3,270.17,448.69,210.93,100.95,3636.17,234.69,108.22,127.58,39.45,55.5,99.94,274.64
20260917,09:00:05,45936.11,40759.41,25748.25,16237.89,120.99,1884.71,376.38,456.86,526.04,106.27,161.27,186.47,91.5,138.26,275.14,117.94,188.25,290.1,2893.94,1543.0,456.63,72.58,232.42,881.48,351.6,239.0,270.3,449.43,210.9,100.98,3636.25,234.71,108.22,127.64,39.45,55.54,99.94,274.78
20260917,09:00:10,46248.28,41062.4,25766.01,16254.43,120.93,1887.61,377.01,457.18,525.95,106.29,161.66,187.13,91.67,138.26,275.14,117.97,188.25,290.08,2917.96,1557.39,458.09,73.23,233.01,888.72,353.11,239.4,271.77,449.6,210.93,101.02,3637.31,234.92,108.73,127.86,39.47,55.57,100.0,274.94
20260917,09:00:15,46251.81,41067.05,25774.92,16268.72,120.93,1888.23,377.77,457.71,527.66,106.29,161.71,187.46,91.65,139.75,275.14,118.07,188.37,290.12,2917.99,1556.02,460.18,73.07,233.23,890.66,353.24,239.61,271.94,449.68,210.79,101.03,3636.21,234.96,108.73,127.89,39.46,55.61,99.72,274.94
20260917,09:00:20,46330.69,41145.11,25784.3,16283.56,121.06,1886.25,378.28,457.86,528.95,107.53,161.93,187.8,91.76,139.54,275.14,118.24,188.44,290.39,2923.92,1558.73,461.0,73.02,233.64,893.99,354.09,238.68,272.81,449.65,210.72,101.18,3635.11,234.96,108.73,127.82,39.42,55.61,99.63,275.15
20260917,09:00:25,46337.78,41154.8,25778.13,16285.78,120.93,1886.25,378.12,457.73,528.91,107.61,161.92,187.77,91.75,139.54,275.14,118.24,188.48,290.34,2924.65,1558.97,461.2,73.15,233.59,894.04,354.07,238.64,273.25,449.6,211.06,101.18,3632.58,234.96,108.85,127.82,39.42,55.61,99.63,275.15
20260917,09:00:30,46342.55,41158.04,25784.17,16288.01,120.93,1885.89,378.12,457.73,528.84,107.45,162.03,187.86,91.83,139.54,275.14,118.25,188.48,290.33,2924.86,1558.86,461.41,73.08,233.52,894.61,353.9,238.51,273.46,449.59,211.26,101.18,3633.86,234.96,108.85,127.82,39.42,55.61,99.63,275.12
20260917,09:00:35,46276.16,41101.25,25761.47,16288.35,120.93,1885.89,378.21,457.73,528.86,107.29,162.04,187.87,91.83,139.75,275.14,118.26,188.52,290.33,2920.27,1555.57,461.2,73.14,233.48,894.32,353.95,238.51,273.19,449.58,211.11,101.18,3626.68,234.96,108.97,127.82,39.42,55.61,99.63,275.16
20260917,09:00:40,46280.32,41104.75,25762.31,16287.48,120.93,1886.57,378.14,457.47,528.85,107.28,162.06,187.89,91.84,139.52,275.14,118.26,188.52,290.33,2920.58,1555.91,461.3,73.07,233.46,894.16,353.28,238.51,273.18,449.65,211.07,101.18,3627.18,234.96,108.97,127.82,39.41,55.61,99.63,275.14
20260917,09:00:45,46318.32,41142.66,25760.53,16288.38,120.93,1887.99,378.22,457.47,528.18,107.28,162.03,187.87,91.82,140.16,275.14,118.28,188.66,290.33,2923.61,1558.16,461.43,73.14,233.45,894.25,353.3,238.5,273.11,449.65,211.1,101.18,3626.38,235.28,108.97,127.95,39.4,55.61,99.63,275.13
20260917,09:00:50,46275.26,41099.84,25761.44,16286.53,120.93,1887.99,377.67,457.47,528.27,107.21,162.01,187.81,91.82,141.22,275.14,118.28,188.52,290.33,2920.2,1555.54,461.7,73.12,233.21,894.25,353.23,238.36,273.1,449.6,211.22,101.16,3627.17,235.28,108.97,127.93,39.4,55.61,99.63,275.13
20260917,09:00:55,46286.88,41111.7,25762.11,16289.1,120.93,1887.99,378.31,457.73,528.35,107.21,162.02,187.81,91.83,141.64,275.14,118.25,188.48,290.33,2921.1,1555.68,461.9,73.13,233.42,895.47,353.24,238.48,273.12,449.51,211.11,101.13,3626.68,235.28,108.85,127.93,39.4,55.61,99.63,274.83
20260917,09:01:00,46273.24,41099.29,25756.0,16285.03,120.93,1887.97,377.3,457.73,528.52,107.21,162.07,187.72,91.88,141.64,275.02,118.26,188.48,290.35,2920.2,1555.22,461.8,73.16,233.31,894.9,353.23,238.34,273.12,449.57,211.24,101.13,3625.87,235.28,108.97,127.92,39.4,55.61,99.63,274.82
20260917,09:01:05,46274.65,41099.98,25758.07,16285.1,120.93,1887.97,377.78,457.73,528.47,107.29,162.06,187.67,91.89,141.22,275.14,118.24,188.48,290.35,2920.25,1555.31,461.66,73.24,233.1,894.96,353.24,238.31,273.09,449.57,211.02,101.13,3626.5,235.61,108.86,127.86,39.4,55.61,99.63,274.78
20260917,09:01:10,46317.61,41140.57,25761.94,16285.29,120.93,1887.97,377.88,457.98,528.09,107.21,162.06,187.72,91.88,141.22,275.14,118.31,188.48,290.32,2923.52,1557.55,461.6,73.3,233.11,895.72,353.26,238.37,273.14,449.5,211.05,101.13,3627.66,235.63,108.86,127.88,39.4,55.61,99.63,274.8
20260917,09:01:15,46325.51,41148.99,25759.43,16284.86,120.93,1887.97,377.87,457.9,528.18,107.29,162.07,187.72,91.88,141.22,275.14,118.28,188.41,290.32,2924.21,1557.7,462.09,73.35,233.11,896.24,353.26,238.35,273.16,449.54,211.05,101.13,3626.99,235.63,108.74,127.97,39.41,55.62,99.63,274.76
20260917,09:01:20,46332.53,41155.5,25755.91,16279.68,120.93,1887.97,377.23,457.9,528.2,107.29,162.06,187.75,91.87,141.01,275.14,118.26,188.41,290.32,2924.85,1558.22,462.15,73.32,233.12,896.18,353.26,238.33,273.14,449.54,210.91,101.16,3627.3,235.63,108.72,127.97,39.41,55.68,99.63,275.09
20260917,09:01:25,46327.49,41150.98,25762.62,16288.72,120.91,1887.74,377.95,457.91,528.54,107.29,161.87,187.76,91.71,141.01,275.14,118.23,188.41,290.32,2924.27,1558.07,462.06,73.3,233.02,895.55,353.34,238.35,273.08,449.59,211.01,101.16,3626.94,235.63,109.19,127.99,39.41,55.68,99.63,275.12
